,rcn,id,acronym,status,programme,topics,frameworkProgramme,title,startDate,endDate,projectUrl,objective,totalCost,ecMaxContribution,call,fundingScheme,coordinator,coordinatorCountry,participants,participantCountries,subjects
6,225983,875629,NAIMA,SIGNED,H2020-EU.2.1.3.;H2020-EU.2.1.2.,LC-BAT-2-2019,H2020,NA ION MATERIALS AS ESSENTIAL COMPONENTS TO MANUFACTURE ROBUST BATTERY CELLS FOR NON-AUTOMOTIVE APPLICATIONS,2019-12-01,2022-11-30,,"The EU is transitioning to The EU is transitioning to a secure, sustainable and competitive energy system as laid out in the EC’s Energy Union strategy. The growing penetration of renewable energy sources in the EU energy market, go hand in hand with a high-competitiveness of the most consolidated technologies: Wind Energy and Solar Photovoltaics. The non-dispatchable renewable generation requires a higher flexibility in the energy system, where the weight of much more decentralised installations grow day-to-day. In fact, the flourishing of a wide portfolio of renewable energy installations is allowing the deployment of large to small scale industrial electricity grids, and in an increased share of electricity produced in private households. The NAIMA project will demonstrate that the new generation of high-competitive and safety Na-Ion cells developed and tested during the project, is one of the most robust and cost-effective alternatives to unseat the current and future Li-based technologies, nowadays controlled by Asian industry. The EU cannot jeopardize the future of its stronger industry to a technology already in the hands of non-European countries. Just the availability of the raw materials of Li-ion cells is almost a “miracle”. Under this scenario, the most robust non-Lithium alternative is the technology based on Sodium-ion (Na-ion). This disruptive technology is already supported by a solid European Battery value chain (industry partners of the consortium) through their solid commitment of substantial investments in the manufacturing of all components of a battery, preserving the ownership and industry strength around European countries. Within the framework of the project, 3 SIB prototypes will be tested in 3 multi-scale Business Scenarios to provide solid evidences about the competitiveness of the technology in 3 real ESS environments (renewable generation, industry and private household) through the application of an assessment and monitoring protocol.",7999897.03,7999897.03,H2020-LC-BAT-2019,RIA,TIAMAT,FR,"BIOKOL SVERIGE AB;VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.;DIL DIEL;ZABALA INNOVATION CONSULTING, S.A.;ELECTRICITE DE FRANCE;STICHTING IHE DELFT INSTITUTE FOR WATER EDUCATION;COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;ACCUREC-RECYCLING GMBH;KEMIJSKI INSTITUT;GESTAMP NAVARRA SA;INNOVATIVE ENERGY AND INFORMATION TECHNOLOGIES LTD;RHODIA OPERATIONS;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS;UMICORE",SE;BE;BG;ES;FR;NL;DE;SI,
32,226246,870245,GEOCEP,SIGNED,H2020-EU.1.3.3.,MSCA-RISE-2019,H2020,Global Excellence in Modeling Climate and Energy Policies,2020-10-01,2024-09-30,,"The global GEOCEP project provides an innovative economic modelling framework supporting the energy transition to a zero-carbon economy and integrating new challenges posed by this transition, including social and technological innovations, the need for flexibility, and new business and services models. GEOCEP brings together leading global and regional think tanks and universities and connects the frontiers of climate change and energy economics with state-of-the-art natural and social sciences utilized in the complex GEOCEP modelling framework. GEOCEP research secondments support a world-wide knowledge transfer aimed to achieve scientific breakthroughs in creating new generations of models enabling complex economic analysis of the anthropogenic drivers and the impacts of and responses to climate change. GEOCEP recognizes that the first best policy in solving the global externality of greenhouse gases as a major driving force of climate change is the imposition of a global price on carbon emissions. Therefore, GEOCEP aims at advancements in modelling techniques related to carbon pricing and impact assessment, including Integrated Assessment Models, hybrid modelling platforms and related theoretical and empirical models. GEOCEP clearly identifies institutional and political obstacles to implementing the first-best solutions to control for the global carbon externality and, consequently, investigates an array of second-best energy and climate mitigation policies focused on increasing energy efficiency, on reducing emissions and related environmental and health externalities and on promoting renewable energy. An understanding of the public impact of energy transition and climate change requires intensive communication of innovative research results to policy-makers and active dissemination to the public at large. This communication and dissemination effort enables formulation of evidence–based and publicly supported policies on both global and regional levels.",3036000.0,2254000.0,H2020-MSCA-RISE-2019,MSCA-RISE,UNIVERZITA KARLOVA,CZ,"LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE;EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH;THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD;FONDAZIONE CENTRO EURO-MEDITERRANEOSUI CAMBIAMENTI CLIMATICI;FONDATION JEAN-JACQUES LAFFONT,TOULOUSE SCIENCES ECONOMIQUES",UK;CH;IT;FR,
39,226082,887865,SAAT2020,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Scoring crops with Agricultural Artificial intelligence Technologies,2019-12-01,2020-05-31,,"By 2050, our planet will be home to more than ten billion people, resulting in an estimated 50% increase in the amount of food, feed, and biofuel required. This year, farmers around the world will produce 30 million tons less grain than required to feed everyone. As a society, we need to move towards smarter data-driven crop production systems that are able to better utilize soil, time, and resources. Modern-day plant breeding uses only a fraction of the available information about genetics and the environment to select new crops.  Computomics is a bioinformatics company founded in 2012 that tackles these challenges. Our software-as-a-service (SaaS) technology platform xSeedScore® provides bioinformatics solutions, powered by artificial intelligence algorithms. We work with clients worldwide to solve their most complex crop-related challenges. With over 100 projects, € 1.1m in revenue (2018), and a client retention rate of 80%, our goal is to have our data analysis pipelines used globally.  Our solution, xSeedScore, helps medium-sized family-owned seed companies, and large agricultural companies alike to accelerate their breeding program by reducing the time and area necessary for breeding crops by 50%-67% and doubling the predictive value of current statistical methods. Our 2022 revenues are projected at € 5.5m. This growth is fueled by our vision of a more equitable, healthy, and sustainable food system in which EU agriculture can stay globally competitive while still upholding its values on crop protection and genetic regulation. Our team is unique in its combination of innovation and expertise, bringing together bioinformatics, plant genetics, machine learning in biology, and artificial intelligence.  Computomics is ready to scale its breeding performance prediction services and expand it across multiple markets. With the right understanding of potential partners and market conditions, access to Phase I funding will give us the ability to reach large clients.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,COMPUTOMICS GMBH,DE,,,
40,226019,889249,BTSys,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Biosolids treatment system for transformation of industrial organic wastes into sustainable and efficient fertilizer with zero emissions,2019-11-01,2020-02-29,,"Global annual organic waste generation is set to reach 3.4 billion tonnes over the next 30 years. Although organic waste
management continues to improve in the EU, the European economy currently still loses a significant amount of potential
organic matter and nutrients. Organic waste generated from agribusinesses, livestock farms, forestry businesses and even
urban settlements have the potential to be recycled to obtain organomineral fertilizers. However, current strategies to treat
organic waste like inertization (treating sludge with lime, water and cement to form a stable mixture) and composting (using
microorganisms to transform organic wastes into fertilizer) are neither sustainable nor environmental-friendly. In addition, the
fertilizer industry often uses chemical additives and the process is energy intensive. To solve these problems, Agristarbio
has developed BTSys an emission-free, environmental-friendly system to treat industrial organic waste, recycle them and
produce highly efficient organomineral fertilizer, reducing drastically environmental impact. Agristarbio’s solution produces an
efficient fertilizer from organic waste with zero carbon emissions and no contamination of soil and water. The solution is
economically viable since it effectively integrates waste management services with the added value of fertilizer production at
no extra cost. The waste management services and premium grade fertilizer are offered at market price, facilitating
businesses to implement circular economies. During the Phase 1 project, a go-to-market strategy and a supply chain will be
established, as well as further development plan will be drafted. During the innovation project, Agristarbio intends to
establish in-house laboratory for testing and optimizing nutrient content in the fertilizer, in addition to commercial activities
including implementation of IP strategy, communication strategy and scouting potential customers.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,AGRISTARBIO - ENVIRONMENTAL SOLUTIONS LDA,PT,,,
53,225952,888396,Green-Insulation,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Green-Tech Fibre Insulation,2019-12-01,2020-05-31,,"Miljøskærm is a Danish SME having independently developed an innovative concept and solution for recycling of discarded wind turbine blades and developed products applying the recycled material as acoustic absorbent material in noise barriers and for thermal insulation purposes.
Today, more than 95% of discarded wind turbine blades and other composite materials go to landfill with significant negative environmental and economic impacts. On a global scale it is estimated that 400.000 tonnes of blades alone will reach their end-of-service life during the period of 2020-2030. 
Our solution comprises development of purpose-built technology for processing of end-of-life wind turbine blades to produce a glass fibre granulate and applying this in products meeting specified requirements for acoustic and thermal insulating performance. 
Our initial end-products are noise barriers which has created a starting point for Miljøskærm’s business in Denmark. We are now in a process of developing an innovative thermal insulation product with rodent repellent properties and this will enable us to scale up our production capacity and to expand into the EU.
The aim of the SME Phase 1 project is to assess the technical, commercial and financial feasibility of our thermal insulation product with rodent repellent properties. If feasible, we estimate the company will be capable of reaching an accumulated profit of €88M in 2027.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,MILJOSKAERM APS,DK,,,
73,225953,888528,ECOWEC,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Erosion Control Oscillating Wave Energy Converter,2019-12-01,2020-05-31,,"Reducing the environmental impact of our economy has become an impelling necessity: climate change in fact is increasingly producing negative effects on the planet and our societies. In this frame, finding new renewable energy sources to reduce CO2 emissions and contrasting coastal erosion are among the most challenging issues, which are strictly interconnected by one element: wave power.
ECOWEC is the first onshore multiple-purpose wave energy converter. Its disruptive innovation is in the performance of multiple and customizable functions at once: the device harvests and converts wave power in multiple energy forms, while protecting shoreline from coastal erosion. Thanks to the innovative application of commercial technologies and its unique design, ECOWEC is a market-oriented device: main features are modularity, scalability and financial sustainability. 
ECOWEC is a suitable device to be installed in ports, marinas and in any other location provided with coastal artificial structures. Our targeted end-users are mainly port and marinas authorities: by installing our device, they can ensure themselves long-term cost savings in energy expenditure, while increasing the air quality of port areas and reducing their environmental impact. By intersepting different issues, our technology is a suitable solution to catch the huge market opportunity represented by Blue Growth.
Fazzini Meccanica boasts a solid engineering expertise, developed in over 20 years of activity. Every day we create innovation to deliver our clients tailor-made mechanical projects. Thanks to regular collaborations in the Offshore Oil & Gas Industry, we developed a good understanding of marine environment and offshore engineering. For this reason, Fazzini Meccanica is a suitable candidate to tackle the challenge of developing a market-oriented WEC: this project will boost the growth of our company, allowing us to double our profit over a period of 3 years.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,FAZZINI MECCANICA DI MENEGOI NADIA & C SNC,IT,,,
87,225941,883679,ReCreo,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Sustainable Use of Metallic Resources: Industrial Waste Prevention,2019-11-01,2020-02-29,,"Waste metals generated in surface treatment industry processes are not recycled, but 1,800 million litres of metal-rich acidic waste are disposed every year.

The ReCreo treatment is a zero-waste process for metal-rich acidic waste: it regenerates the acidic solution back to the process and extracts metals in the form of salt for re-use. Waste is decreased by 100%. TRL 7 reached; a pilot plant with the capacity of 2 million litres of waste per year.

Added Values: Sustainability, Waste prevention, Resource efficiency, Circular economy, Cost-savings.

Target EU legislation: Waste Framework Directive (Directive 2008/98/EC), Directive 2010/75/EC on industrial emissions (integrated pollution prevention and control), Regulation (EC) No 1907/2006 on REACH, An EU action plan for the Circular Economy (COM/2015/0614)

Market Opportunity: Surface treatment, galvanization and printed circuit boards manufacturing: Total Addressable Market (TAM) is approximately 250 million € in Europe, and 1.7 billion € globally.

Demand: Substantial need for technologies and methods that would be able to replace the current, expensive and hazardous waste generating methods and fulfil EU level waste and chemical legislation.

Impact by 2029:
- Reduction of 74 M litres of hazardous waste disposed on landfills
- Prevention of 55.5 M litres of acid need with the closed loop method
- Recycling 14,800 tons of metals to re-use
- 51 M€ revenue
- 170 new workplaces

Competition: No equivalent technologies available; currently metals are lost in the ladfills.

Business Model: Own facilities and technology licencing

Company: ChemBrot Oy Ltd. (founded 2013) is a Finnish environmental waste management company that specialises in developing and operating different hazardous waste treatment technologies. Professional team with strong technical and business expertise.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,CHEMBROT OY,FI,,,
95,226125,882777,UCL,SIGNED,H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.,EIC-SMEInst-2018-2020,H2020,Unmanned Chemical Lab (UCL): autonomous control system for the remote management of soluble and emulsifiable metalworking fluids,2019-12-01,2020-03-31,,"Several industries such as transportation, machinery and metal fabrication rely on metalworking fluids (MWF) for smooth operation. Water-based MWF, especially emulsions are susceptible to deterioration due to factors such as bacterial growth or evaporation of water which alter the fluid characteristics. In order to keep MWF properties at their optimum, additives must be used. Currently, however, testing of parameters is done either once a week using hand-held devices or using automatic systems which send information to operators alerting them to intervene. If additives are not poured in time, the MWF become unusable and need to be disposed. MWF disposal is associated with high costs of waste management and negative environmental impacts. In addition, both MWF and additives pose health risks such as skin reactions and respiratory conditions. REYS S.p.A, an expert chemical production and fluid management company has developed the Unmanned Chemical Lab (UCL), a cloud-based platform that automatically predicts fluid degradation events, remotely manages and controls process fluids reducing drastically the health exposure risk to workers. Based on an extensive database on MWF parameters and interventions taken by operators, our system has an artificial intelligence (AI) software capable to determine the amount of additives required to restore parameters to their optimum and pours the measured additives automatically. UCL novelty relies on four major pillars: (1) AI powered software enables continuous, automatic and highly accurate monitoring of the emulsion providing correction of MEW parameters in real-time; (2) usage of less than 2% fluids and additives; (3) reduce MWF disintegration by 100% enabling the fluid to last its full-service life of a year and (4) 100% reduction of health and safety operator risks associate with in situ MWF measurements. We foresee to generate a cumulative profit of €2.4M, a ROI of 4.45 and \12 personnel, 5 years post commercialisation.",71429.0,50000.0,H2020-SMEInst-2018-2020-1,SME-1,REYS SPA,IT,,,
103,226062,870620,ERIGrid 2.0,SIGNED,H2020-EU.1.4.1.2.,INFRAIA-01-2018-2019,H2020,"European Research Infrastructure supporting Smart Grid and Smart Energy Systems  Research, Technology Development, Validation and Roll Out – Second Edition",2020-04-01,2024-09-30,,"A driving force for the realization of a sustainable energy supply is the integration of renewable energy resources. Due to their stochastic generation behaviour, energy utilities are confronted with a more complex operation of the underlying power grids. Additionally, due to technology developments, controllable loads, integration with other energy sources, changing regulatory rules, and the market liberalization, the system’s operation needs adaptation. Proper operational concepts and intelligent automation provide the basis to turn the existing power system into an intelligent entity, a smart grid. While reaping the benefits that come along with those intelligent behaviours, it is expected that system-level developments and testing will play a significantly larger role in realizing future solutions and technologies. Proper validation approaches, concepts, and tools are partly missing until now. 

In order to tackle the integration of renewables in a first phase the FP7 RI project DERri focused on the provision of access around distributed energy resources. In a second phase, the provided portfolio of services has been successfully enlarged in the H2020 RI project ERIGrid to the system-level covering mainly electric power system, information and communication issues. However, in order to fulfil the challenging goals of the European Union towards a clean, secure, and efficient energy transition to face climate and energy challenges, additional research services are required. 

In a third phase ERIGrid 2.0 addresses these challenging energy transition aims by widening and advancing the provided RI access. As a single-entry point for researchers active in smart grids, smart energy systems, and integration of renewables, it offers a broad spectrum of improved services, methods, and tools. This will further strengthen the technical leadership of Europe in the energy domain and foster research and innovation to extend its leading role.",9999988.25,9999988.25,H2020-INFRAIA-2019-1,RIA,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,AT,"SINTEF ENERGI AS;European Distributed Energy Resources Laboratories e.V.;RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN;ORMAZABAL CORPORATE TECHNOLOGY, A.I.E.;Teknologian tutkimuskeskus VTT Oy;DNV GL NETHERLANDS B.V.;FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.;FUNDACION TECNALIA RESEARCH & INNOVATION;COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;CENTRE FOR RENEWABLE ENERGY SOURCES AND SAVING FONDATION;DIACHEIRISTIS ELLINIKOU DIKTYOU DIANOMIS ELEKTRIKIS ENERGEIAS AE;OFFIS EV;RICERCA SUL SISTEMA ENERGETICO - RSE SPA;DANMARKS TEKNISKE UNIVERSITET;UNIVERSITY OF CYPRUS;INSTITUTE OF COMMUNICATION AND COMPUTER SYSTEMS;TECHNISCHE UNIVERSITEIT DELFT;JRC -JOINT RESEARCH CENTRE- EUROPEAN COMMISSION;UNIVERSITY OF STRATHCLYDE",NO;DE;ES;FI;NL;FR;EL;IT;DK;CY;BE;UK,
113,226111,871115,ACTRIS IMP,SIGNED,H2020-EU.1.4.1.1.,INFRADEV-03-2018-2019,H2020,"Aerosol, Clouds and Trace Gases Research Infrastructure Implementation Project",2020-01-01,2023-12-31,,"The Aerosol, Clouds and Trace Gases Research Infrastructure (ACTRIS) is a pan-European research infrastructure producing high-quality data and information on short-lived atmospheric constituents and on the processes leading to the variability of these constituents in natural and controlled atmospheres. Different atmospheric processes are increasingly in the focus of many societal and environmental challenges, such as air quality, health, sustainability and climate change. ACTRIS brings essential information for understanding atmospheric processes and bio-geochemical interactions between the atmosphere and ecosystems. ACTRIS is composed of Observational and Exploratory Platforms, Topical Centres, Data Centre, and Head Office that is coordinating the ACTRIS activities. ACTRIS serves a vast community of users such as scientists, policy makers, private sector, funding organisations and educators. 
ACTRIS activity started almost 20 years ago, and currently more than 100 European partners from 22 countries are engaged in building the research infrastructure. ACTRIS was selected to the ESFRI roadmap in 2016 and was granted with EC preparatory phase project funding (ACTRIS PPP) for 2017-2019. Interim ACTRIS Council (IAC), representing the governmental representatives of 16 member countries and one observer country, have submitted the ACTRIS ERIC step 1 documents to EC in Feb 2019. IAC is aiming to establish ACTRIS ERIC in 2021. ACTRIS is entering the implementation phase in 2020. The ACTRIS implementation project, ACTRIS IMP, will take ACTRIS into a new level of maturity and will set the needed structures for the implementation actions, both at the national and European level. ACTRIS IMP builds on three main pillars: securing the long-term sustainability, implementing of ACTRIS functionalities, and positioning ACTRIS in the national, European and international science and innovation landscape. ACTRIS IMP will enable ACTRIS to respond to the users’ needs and requirements.",4999997.5,4999997.5,H2020-INFRADEV-2019-2,RIA,ILMATIETEEN LAITOS,FI,"USTAV CHEMICKYCH PROCESU AV CR, v. v. i.;AARHUS UNIVERSITET;ZENTRALANSTALT FUR METEOROLOGIE UNDGEODYNAMIK;LEIBNIZ INSTITUT FUER TROPOSPHAERENFORSCHUNG e.V.;UNIWERSYTET WARSZAWSKI;HELSINGIN YLIOPISTO;THE UNIVERSITY OF MANCHESTER;UNIVERSIDAD DE VALLADOLID;LUNDS UNIVERSITET;FORSCHUNGSZENTRUM JULICH GMBH;NATIONAL INSTITUTE OF RESEARCH AND DEVELOPMENT FOR OPTOELECTRONICS;INSTITUT NATIONAL DE L ENVIRONNEMENT ET DES RISQUES INERIS;UNIVERSIDADE DE EVORA;IDRYMA TECHNOLOGIAS KAI EREVNAS;NORSK INSTITUTT FOR LUFTFORSKNING STIFTELSE;INSTITUTE OF NUCLEAR RESEARCH AND NUCLEAR ENERGY - BULGARIAN ACADEMY OF SCIENCES;MEDIZINISCHE UNIVERSITAT INNSBRUCK;INSTITUT MINES-TELECOM;UNITED KINGDOM RESEARCH AND INNOVATION;CONSIGLIO NAZIONALE DELLE RICERCHE;UNIVERSITAT POLITECNICA DE CATALUNYA;KARLSRUHER INSTITUT FUER TECHNOLOGIE;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT-KNMI;EESTI MAAULIKOOL;PAUL SCHERRER INSTITUT;NATIONAL OBSERVATORY OF ATHENS;INSTITUT ROYAL D'AERONOMIE SPATIALEDE BELGIQUE;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS;FUNDACION CENTRO DE ESTUDIOS AMBIENTALES DEL MEDITERRANEO;UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK;THE CYPRUS INSTITUTE;EIDGENOSSISCHE MATERIALPRUFUNGS- UND FORSCHUNGSANSTALT;JRC -JOINT RESEARCH CENTRE- EUROPEAN COMMISSION",CZ;DK;AT;DE;PL;FI;UK;ES;SE;RO;FR;PT;EL;NO;BG;IT;NL;EE;CH;BE;IE;CY,
