,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority
0,forest management,835398,forest management,Agriculture,Forest protection,forest management,"Technology of increasing carbon stocks of standing forests, including maintaining forest cover, minimising losses of dead organic matter (including slash) or of soil carbon by reducing soil erosion, and avoiding burning slash and other high-emission substances.","“forest management”, “management of forest”",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0
1,forest management,835541,forest management,Agriculture,Forest protection,forest management,"Technology of increasing carbon stocks of standing forests, including maintaining forest cover, minimising losses of dead organic matter (including slash) or of soil carbon by reducing soil erosion, and avoiding burning slash and other high-emission substances.","“forest management”, “management of forest”",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0
2,bioplastic,812602,bioplastics,Industry,Use of innovative materials,bioplastics,"Technology of using renewable biomass materials in the manufacture of bioplastics, including biodegradable or compostable bioplastics.",bioplastic,https://www.ctc-n.org/technologies/bioplastics,1.0
3,DSM,811592,demand-side energy management,Buildings,Decreased energy consumption design or practices,demand-side energy management,"Technology inside buildings that help ensure that the energy system performance meets the design intentions; helps monitor, evaluate and manage the energy performance to optimise occupants’ comfort and the building’s functions, while maintaining or improving the energy efficiency of the building.","“demand-side energy management”, “demand-side management”, “demand side energy management”, “demand side management”, DSM",https://www.ctc-n.org/technologies/energy-management-and-performance-improvement,1.0
4,waste management,847641,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,0.0
5,carbon capture and sequestration,805344,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
6,fuel cell,779606,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
7,nutrient management,818470,nutrient management,Agriculture,Emissions and pollution reduction,nutrient management,Technology of integrating the use of natural and man-made soil nutrients to increase crop productivity and preserve soil productivity for future generations; or to decrease methane emissions in livestock.,"“nutrient management”, “management of nutrient”",https://www.ctc-n.org/technologies/integrated-nutrient-management,1.0
8,CSP,786483,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
9,concentrated solar power,786483,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
10,PV,786483,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
11,carbon sequestration,841910,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
12,photovoltaic,838686,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
13,efficient lighting,842633,low GHG lighting,Buildings,Interior appliance design,low GHG lighting,"Technology of new high efficiency lighting including, and not limited to LED.","“high efficiency lighting”, “high-efficiency lighting”, “efficient lighting”,”low green house gas lighting”",http://www.b-t.energy/landscape/buildings/high-efficiency-lighting/,0.0
