,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority,combined
0,renewable energy,875629,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1,renewable energy,870245,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
2,biofuel,887865,biofuel,Transport,Transport Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0,Transport Fuel
3,waste management,889249,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
4,recycling,888396,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
5,wave energy,888528,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0,Energy Hydro energy sources
6,renewable energy,888528,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
7,wave power,888528,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0,Energy Hydro energy sources
8,waste management,883679,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
9,recycling,883679,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
10,waste management,882777,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
11,smart grid,870620,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
12,renewable energy,870620,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
13,data centre,871115,low GHG data centers,Industry,Energy use innovation,low GHG data centers,"Technology that helps to decrease the emissions from data centers. Can include efficient power electronic conversion, data center cooling technologies, technologies that increase server utilization rates above 5–10% range (e.g., virtualization), and next generation semiconductor chips.","“data center”, “data centre”",http://www.b-t.energy/landscape/manufacturing/extreme-efficiency-in-itdata-centers/,0.0,Industry Energy use innovation
14,electric vehicle,875029,electric vehicle design,Transport,Vehicle design,electric vehicle design,Technology of vehicle propelling using solely electric motors.,"“electric vehicle”, “electric car”",https://www.ctc-n.org/technologies/electric-vehicles,1.0,Transport Vehicle design
15,recycling,875029,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
16,data centre,870403,low GHG data centers,Industry,Energy use innovation,low GHG data centers,"Technology that helps to decrease the emissions from data centers. Can include efficient power electronic conversion, data center cooling technologies, technologies that increase server utilization rates above 5–10% range (e.g., virtualization), and next generation semiconductor chips.","“data center”, “data centre”",http://www.b-t.energy/landscape/manufacturing/extreme-efficiency-in-itdata-centers/,0.0,Industry Energy use innovation
17,waste management,886997,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
18,energy storage,889190,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
