,title,objective,coordinator
16,MOnitoring VEgetation status and functioning at high spatio-temporal resolution from Sentinel-2,"Leaf Area Index (LAI), Fraction of green Vegetation Cover (FCOVER) and Fraction of Absorbed Photosynthetically Active Radiation (FAPAR) are key biophysical variables representing the status and functioning of vegetation. High spatiotemporal resolution LAI/FAPAR/FCOVER products are urgently needed in many terrestrial applications including crop and forest management. However, the trade-off in traditional remote sensing sensors between temporal and spatial resolutions hinders the generation of such products. The launch of Sentinel-2 satellites, with spatial resolution of 10-20 m and 5-day temporal sampling (in tandem), opens a new paradigm in satellite vegetation monitoring. The proposed project â€œMOVESâ€ will develop an operational algorithm for retrieving LAI/FAPAR/FCOVER from Sentinel-2 data. An easily-invertible radiative transfer model (RTM) will be firstly developed, which will apply a universal model framework for all vegetation types (continuous vs discrete) and terrains (horizontal vs sloping). In this project, the hybrid training and domain adaption paradigms will be introduced into the retrieval of LAI/FAPAR/FCOVER, to enhance the transferability of the retrieval algorithm and achieve spatiotemporally consistent retrieval. The Copernicus ground-based observations (GBOC) and FLUXNET sites will be used to validate the proposed algorithm and assess its potential in the monitoring of vegetation status and functioning. The project is conceived to combine the prominent expertise of the hosting institute in biophysical variable retrieval and remote sensing ecological application, with my well-demonstrated RTM development skills. Overall, MOVES will facilitate the delivery of Sentinel-2 LAI/FAPAR/FCOVER products of physical consistence and high accuracy, and underpin new avenues for the development of high spatiotemporal frequency vegetation monitoring systems.",CENTRO DE INVESTIGACION ECOLOGICA Y APLICACIONES FORESTALES
33,The first non-fermentative production process for low cost synthesis of biodegradable PHAs bioplastic from vegetal oils and fats,"POLÃ¬PO S.r.l. has developed the first chemical route (not based on bacterial fermentation) to produce PHA from vegetal oils and fats. PHA is the only bioplastic which is 100% degradable in natural environment but is presently only applied in niche applications due the high costs of production. POLÃ¬PO's chemical route to PHA represents a game changing technology in the field of bioplastic, making it possible to produce a biodegradable bioplastic with key advantages with respect to current fermentative route: reduction of production cost > 35 %; reduction of investment for production plant of around 70-80%; reduction of plant size of around 50%; use of non-food raw materials.
The unique selling point is then to enable production of 100% biodegradable PHAs from different non-food oil sources in a competitive manner for large scale applications (e.g. food packaging) which are presently not allowed by the high price of PHAs. This will allow as first step to substitute bio-based PET in this segment, worth 800 kt/year in 2016, and successively targeting substitution of fossil based plastics. 
After validation at pre-industrial scale, POLÃ¬POâ€™s process will be licensed to existing and new industrial players in the bioplastic manufacturing sector, in the form of License Agreement or Joint Venture. In the feasibility study POLÃ¬PO needs to 1) carry out Customer Validation for the technology, 2) Define the industrial upstream and downstream value chain and profiling industrial partners and investors 3) Refine the Business Plan the Business Model and the Investment strategy.",POLIPO SRL
43,"Final development, clinical validation and launch preparation of NL01, an innovative health ingredient for supplements, food products and foods for special medical purposes","People want to live a long and healthy life and there is a huge demand for food products to enable this. Among consumers, the most desired health benefits in food products and supplements are â€˜supports immune functionâ€™ and â€˜increases resistance to infectionsâ€™.

NutriLeads is a dynamic Health Ingredients company developing crop-derived food ingredients with clinically proven health benefits. With its proprietary lead ingredient NL01, having completed preclinical data and proven safety in humans, NutriLeads is on track to become the first company to launch an ingredient with an approved health claim for supporting immune function and increasing infection resistance. Targeted end-users of NL01 containing food products (dietary supplements, medical- and functional foods) are young adults, adults, elderly and patients, aiming to support their health and immune status.

Nutrileads selected a common crop from which NL01 can be isolated, a game-changer for its commercial success,and developed the isolation process for NL01 up to small scale industrial plant production. In this project, Nutrileads will perform medium scale-up of the production process to 250 kg. Nutrileads will complete the data package for NL01 with a clinical study in a relevant population with increased infection risk to support the health claims on NL01, register NL01 as â€˜Novel Foodâ€™ and obtain European Food Safety Authority (EFSA) regulatory advice on registration as â€˜Food for Specific Medical Purposesâ€™.

NutriLeads will generate revenues from out-licensing NL01 to large companies in the food industry. Market leaders Abbott, NestlÃ©, Friesland Campina, Danone, Fresenius regularly in-licence components for inclusion in their products; NestlÃ© and DSM have already shown interest in Nutrileadsâ€™ products. Nutrileads works towards market entry and first deals during or directly after this project with a projected best-case cumulative revenues of â‚¬115 million in 2026, representing >46x the EC grant.",NUTRILEADS BV
446,"A hydraulic collection tower, with a novel energy storage device for wave energy arrays","Wave energy convertors (WEC) capture the energy contained in ocean waves and use it to generate electricity. The use of wave energy provides the opportunity to generate energy at a wide range of locations throughout Europe, which will strengthen the stability of Europeâ€™s energy networks. WEC developers have still not achieved a lower cost of energy through a viable and competitive technology.  Ocean Harvesting Technologies AB (OHT) was founded in 2007 and develops an innovative and patented hydraulic collection system and storage technology for wave energy arrays. The power captured by wave energy converters (WEC) is pumped in the form of pressurized fluid through a piping system to a central tower, where the collected power is first smoothed by the novel OH energy storage device and then converted into electricity. OHTs vision is that their technology will solve the problems with current centralized hydraulic collection systems through a more efficient solution and ultimately lead to lower cost of energy. Besides generating efficient and even power, the simplicity of the OH design will allow better protection in rough conditions, and make its manufacture impressively cost-efficient. OHTs energy storage technology will not only remove the intermittent nature of wave energy but turn wave farms into flexible power plants. OHT have raised 3,2 M EUR in private equity to date.",OCEAN HARVESTING TECHNOLOGIES AB
593,Start-up activities for Advanced Signalling and Automation Systems,"X2Rail-1 addresses the S2R-CFM-IP2-01-2015 â€œStart-up activities for Advanced Signalling and Automation Systemâ€ call issued by the Shift2Rail Joint Undertaking as part of the Innovation Programme 2 â€œAdvanced Traffic Management & Control Systemsâ€.
The X2Rail-1 project aims to research and develop six selected key technologies to foster innovations in the field of railway signalling and automation systems towards a flexible, real-time, intelligent traffic management and decision support system.
The actions to be undertaken in the scope of X2Rail-1 are related to the following specific objectives:
 To overcome the limitations of the existing communication systems by adapting radio communication systems which establish the backbone for the next generation advanced rail automation systems.
 To improve the usable track capacity by introducing more Automatic Train Operation (ATO) systems and Moving Block systems.
 To innovate the signalling architectures towards more decentralized and less cost intensive systems by incorporating Moving Block systems and Smart Wayside Objects. 
 To minimize energy consumption and to improve train punctuality through more extensive use of Automatic Train Operation (ATO) systems.
 To increase innovation in the field of lab testing by developing architectures for new lab test systems and simulations for control, command and communication systems in order to reduce costs. 
 To ensure security among all connected signalling and control systems by developing new cyber security systems dedicated to railways.
 To ensure the backward compatibility of ERMTS/ETCS technologies, notwithstanding of the required functional enrichment of the future signalling and control systems.",SIEMENS AKTIENGESELLSCHAFT
598,"Carbon 2 Butanol, a breakthrough technology in eco-innovation that cuts GHG emissions by converting industrial waste gases into chemicals and biofuel.","C2B is a novel microbially-mediated process that captures large amounts of CO2 from industrial plants and converts it into biofuels and chemicals. C2B process is based on Oakbioâ€™s proprietary microbial strain, which uses CO2 from any flue gas and hydrogen (H2) as a feedstock to produce n-butanol, a valuable drop-in biofuel. In fact, n-butanol is primarily used to make durable acrylic plastics, but is also a superior biofuel, which addresses a massive market as a potential gasoline replacement. Oakbioâ€™s microbial strain grows in a standard fermenter that can be located next to the flue stack of the factories (cement plants, power plants and refineries). It can capture flue gas directly at the point source with minimal retrofitting. This will allow such factories to cut 70% of their direct GHG emissions, while the n-butanol production adds a significant revenue stream to their bottom line: Oakbio estimates a return of more than â‚¬25 per t/CO2 captured.",OAKBIO LTD
604,Second Life Batteries for Domestic Electricity Storage,"Powervault aims to be the EUâ€™s specialist provider of cost-effective distributed electricity storage for domestic homes, lowering electricity bills and allowing residents to seize the opportunities of the smart power revolution. 

The EU's electricity networks face considerable challenges from decarbonisation - with microgeneration, electric vehicle penetration and renewable heat stressing local distribution networks which were not designed to take this load. New technologies offering flexibility,such as energy storage, offer a potential solution. However, despite benefits for consumers, electricity network operators and wider society, small scale electricity storage remains prohibitively expensive with high upfront unit costs inhibiting mass market uptake. 

With SLB-DES Powervault has devised a multi-faceted solution that explicitly tackles the high upfront cost of domestic electricity storage. Here Powervault has instigated technical innovation and commercial sophistication, recycling second life electric vehicle batteries on a storage as a service basis.  SLB-DES is explicitly designed to be the most affordable and resource efficient electricity storage solution globally. 
 
Powervault believes the cost-effective SLB-DES proposition can radically accelerate domestic electricity storage uptake, allowing more customers to benefit from increased usage of renewables and seize the opportunities of the smart power revolution, thereby supporting EU ambitions of an efficient and clean energy system. 

Powervault will use this feasibility study to evaluate the European market opportunity for SLB-DES, identify the steps necessary for mass market commercialisation and prepare for a Phase 2 pilot trial.",POWERVAULT LTD
969,Improving the productivity of Biodiesel plants through their adaptation for the production of polyols,"B-Ecolyol is BETA's innovative solution to overcome periods of inactivity in biodiesel plants due to market fluctiations in raw materials' pricing, which make production unprofitable.
Our experience in the bio-refinery sector, and in the development of engineering processes for the valorization of used oil enabled us to see that our biodiesel plants could also be used for the production of polyols .These are products with a great market potential as they are used for the production of polyurethane for a vast variety of applications- from coatings and adhesives, to automotive seats or fibres.
Thus, our solution consists on a simple processing technology that can be adapted within biodiesel plants, for the production of eco-polyols from used oil or biodiesel, increasing their productivity while valorizing a product usually considered as residue (used oil). In this way, we eliminate the issue of limited availability of resources and their associated pricing fluctuations. Moreover, thanks to the simplicity and mild operating conditions of our process, we will reduce global warming emissions and use of non-renewable energy by 36% and 61%, respectively compared to petroleum derived polyols.
Our business model at BETA Group has a double approach, 1) as producers of biodiesel and derived added value products such as eco-polyols and 2) as providers of engineering services. The exploitation of the B-Ecolyol project will follow this double strategy, on one hand increasing our bio-polyol production for its commercialization, and on the other, providing our engineering services for the implementation of the licensed technology in other companies with the same productivity issues. In this way, the B-Ecolyols project will not only have a remarkable economic impact on our company (increasing our revenues by 49% by 2023, with a ROI of 3.33), but will also contribute to increase our competitiveness , by targeting new markets and increasing our international presence",BETA RENOWABLE GROUP SA
1082,Titanium Oxide Nanocomposites for Scalable Optimized Perovskite Solar cells,"The European commission recognizes the importance of nanotechnology, semiconductors and advanced materials as key enabling technologies. The application of functional nanostructured materials in industrial processes and advanced science is of capital and strategic importance for the European economy and society. Their inclusion as reliable, standard and affordable components will boost the competitiveness of European industry, specifically in the fabrication of 4th generation solar cells. Sensitized Perovskites Solar cells (PSC) represent advantages in terms of cost manufacturing, energy generation and integration in flexible and semitransparent devices. However, the viability of their mass scale fabrication is hindered by economic and technical difficulties. Some of these technical issues arise from inefficient infiltration of the perovskite absorber into a fragile mesoporous (mp) TiO2 layer. My project addresses these problems applying a recently developed straightforward method for secure TiO2 nanotube layers (TNL) to commodity thermoplastic polymers. This novel method combined with optimized solution synthesized perovskites will result in the production of flexible and pliable PSC. Specifically, I propose to produce a step change in the standardization and fabrication of functional nanostructured materials, and its implementation in optimized PSCs. Lastly, the study on the life cycle management and viability of the industrial production of these PSC will be evaluated in an innovative photovoltaic manufacture company, ONYX SOLAR. Hence, the project is designed to generate disruptive, but easily scalable technology that may be rapidly adopted by European industry to boost its competitiveness in functional nanostructured composites and 4th generation solar cells.",AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS
1092,Novel sensor based soil-plant-climate control system for European smart farming,"New tools have to be developed to mitigate emissions of greenhouse gases and adapt to impacts of climate change with
respect to the interfaces of water, land use and biodiversity due to water saving techniques, technology development of
innovative mapping and plant growth monitoring systems. SenSOP-II aims are to provide this tool for advanced smart
farming operations and water and energy saving techniques.
SenSOP-II optimises irrigation, fertilizer- and pesticide application and soil treatment focused on grapes, hop plants, fruits
and vegetables and extensive wheat production areas affected by global temperature increase. SenSOP-II also monitors
vitality, growth and qualities of cultural plants/ crops and measures applied.
The SenSOP-II approach is based beside others on the experiences and expert knowledge of a national funded R&D project
for a trial agricultural company (2012-2014; patent application DE102013012793). Since 2014 SenSOP-II solution has been
demonstrated successfully in the field.
The engineering design of SenSOP-II is an innovative solution based on a Three-Layer approach with soil-plant-climate
based sensors, simulation software tools embedded in a web-based server structure. The user design of SenSOP-II is a lowcost,
easy-to-use and industry independent software tool that is accessible to end-users through internet client devices.
Key market is the wine producing sector in Europe. Wine regions outside Germany will be covered by our prospective
contracted strategic system partners. Further system openness to new applications, techniques and data sources ensures
continuous improvement of SenSOP-II approach within the system partner network to boost SenSOP-II innovation solution
and to create jobs and turnover for each participated SME on an European scale.",JENA-GEOS-INGENIEURBURO GMBH
