,Country,EU,Image URL,2014 05,2014 09,2014 10,2014 11,2014 12,2015 01,2015 02,2015 03,2015 04,2015 05,2015 06,2015 07,2015 08,2015 09,2015 10,2015 11,2015 12,2016 01,2016 02,2016 03,2016 04,2016 05,2016 06,2016 07,2016 08,2016 09,2016 10,2016 11,2016 12,2017 01,2017 02,2017 03,2017 04,2017 05,2017 06,2017 07,2017 08,2017 09,2017 10,2017 11,2017 12,2018 01,2018 02,2018 03,2018 04,2018 05,2018 06,2018 07,2018 08,2018 09,2018 10,2018 11,2018 12,2019 01,2019 02,2019 03,2019 04,2019 05,2019 06,2019 07,2019 08,2019 09,2019 10,2019 11,2019 12,2020 01,2020 02,2020 03,2020 05,2020 06,2020 09
0,AT,EU,https://www.countryflags.io/at/flat/64.png,0.0,0.0,0.0,0.0,0.0,10860719.690000001,10860719.690000001,12710782.190000001,14205035.940000001,45525303.44,52855074.69,52905074.69,52905074.69,58286069.69,63666726.44,75509765.84,75509765.84,79024163.34,81023788.34,81023788.34,83021775.84,95249161.98,95249161.98,95249161.98,95249161.98,100226321.81,110205162.31,110205162.31,110205162.31,120837303.39,124123372.14,124273372.14,124273372.14,124373372.14,124423372.14,124423372.14,124473372.14,132543766.44,139542721.44,144490747.69,144490747.69,144490747.69,144540747.69,144540747.69,144706904.49,144706904.49,144706904.49,144706904.49,148006809.49,148006809.49,148006809.49,148056809.49,148056809.49,165318218.88,166796031.38,166796031.38,168792550.38,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2,184879598.2
1,BE,EU,https://www.countryflags.io/be/flat/64.png,0.0,0.0,0.0,0.0,3720893.4,16937369.47,16937369.47,21094495.41,30090457.41,41212726.67,44517481.67,44687481.67,44860281.67,61946341.43,62107141.43,62267941.43,62267941.43,63648362.68,64248166.43,64420966.43,64584011.03,64584011.03,98516763.78,98516763.78,98516763.78,125815905.21000001,130684167.71000001,132082115.46000001,132082115.46000001,159428577.66,159428577.66,161414702.66,161414702.66,174964585.67,174964585.67,175561998.17,175722798.17,185187624.42,190001722.92,193127192.29999998,193177192.29999998,199684553.29999998,201355822.29999998,201528622.29999998,207897871.79999998,211159385.54999998,221545981.42999998,221545981.42999998,221595981.42999998,225460067.05999997,243472669.68999997,245968541.18999997,252002196.31999996,269749206.31999993,272824027.56999993,274324027.56999993,276596568.81999993,282582506.31999993,287415482.56999993,301357575.72999996,301357575.72999996,306079784.47999996,306436424.47999996,306436424.47999996,306436424.47999996,306436424.47999996,306436424.47999996,306436424.47999996,306436424.47999996,306436424.47999996,306614744.47999996
2,BG,EU,https://www.countryflags.io/bg/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0,520550.0
3,CH,Non EU,https://www.countryflags.io/ch/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829269.88,2829269.88,2829269.88,2829269.88,2829269.88,2829269.88,2829269.88,2829269.88,2829269.88,2829269.88,6128364.88,6128364.88,7474802.88,9162222.48,17511603.9,17511603.9,17511603.9,20306778.2,22604384.2,26327614.15,31345639.15,32766287.15,32766287.15,32916007.15,32916007.15,33065966.15,35240666.75,35240666.75,35290666.75,35290666.75,35478086.35,35665505.95,35715505.95,35765505.95,35765505.95,35865505.95,38665505.95,38715505.95,46177507.53,46364927.13,46540346.730000004,46590346.730000004,46777766.330000006,50161168.43000001,50211168.43000001,53889270.93000001,53889270.93000001,67155807.93,67155807.93,67458957.37,71576376.81,71767526.25,71767526.25,72149825.13,72149825.13,72149825.13,72149825.13,72149825.13,72149825.13,72149825.13,72149825.13,72149825.13,72340974.57
4,CY,EU,https://www.countryflags.io/cy/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,4390940.0,4390940.0,4542588.8,4542588.8,4542588.8,4542588.8,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5554762.55,5604762.55,5604762.55,5604762.55,5604762.55,5604762.55,5604762.55,5604762.55,5604762.55,5604762.55,5604762.55,9493101.3,9493101.3,9493101.3,9493101.3,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001,9644750.100000001
5,CZ,EU,https://www.countryflags.io/cz/flat/64.png,0.0,0.0,0.0,0.0,0.0,3090824.5,3090824.5,4735204.5,4735204.5,4735204.5,4735204.5,4735204.5,4735204.5,4735204.5,4735204.5,4735204.5,4735204.5,11212800.0,11212800.0,11212800.0,11212800.0,11212800.0,11212800.0,11212800.0,11212800.0,12009050.0,12009050.0,12009050.0,12009050.0,12009050.0,12009050.0,12009050.0,12009050.0,12009050.0,12151770.8,12151770.8,12151770.8,12151770.8,12151770.8,12151770.8,12151770.8,12151770.8,13363145.8,13363145.8,13363145.8,13505866.600000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001,14507392.350000001
6,DE,EU,https://www.countryflags.io/de/flat/64.png,0.0,0.0,100000.0,3944898.96,9835558.96,38571603.72,40514606.22,50832588.72,60042284.65,85896738.7,126429114.6,134929251.72,139159603.22,156954840.86,157114301.66000003,158273134.96000004,158273134.96000004,187634233.61000004,188871006.91000006,246690307.92000005,262081722.68000004,266941716.28000003,272983027.54,273204488.34000003,273254488.34000003,323511707.46000004,359804024.52000004,402784360.94000006,410754389.56000006,428236404.57000005,430568592.57000005,437589168.89000005,442735476.03000003,459284205.41,512595450.53000003,514685125.53000003,517675937.78000003,529829657.81000006,539543491.5600001,540689176.11,540789176.11,574660580.36,578511543.0,578561543.0,582808117.3,618712246.56,618762246.56,618921707.3599999,618921707.3599999,620395107.3599999,628672119.8599999,629256344.8599999,652043780.2599999,664614300.5599998,666114300.5599998,670085741.3599998,673583085.3599998,688834198.2099998,713394434.5799998,713394434.5799998,713569240.9799998,716068702.9799998,718738338.3799998,718738338.3799998,718913144.7799997,720901424.7799997,720901424.7799997,720901424.7799997,720901424.7799997,720901424.7799997,720901424.7799997
7,DK,EU,https://www.countryflags.io/dk/flat/64.png,0.0,0.0,0.0,0.0,0.0,6514975.75,6564975.75,6564975.75,8406791.75,18414304.71,21557911.96,21607911.96,21607911.96,22220496.36,22220496.36,22220496.36,22220496.36,28220388.86,48942878.739999995,48992878.739999995,48992878.739999995,53693587.28999999,53693587.28999999,53743587.28999999,53843587.28999999,63568556.419999994,67724912.66999999,67724912.66999999,67724912.66999999,67724912.66999999,67774912.66999999,67975107.46999998,67975107.46999998,69974857.46999998,71075607.46999998,72166732.46999998,74766731.46999998,74766731.46999998,78925275.36999999,80035405.36999999,80085405.36999999,80297600.16999999,80297600.16999999,81303850.16999999,81516044.96999998,90029130.62999998,90441520.22999997,92830357.72999997,94481735.52999997,94481735.52999997,94481735.52999997,118175846.58999997,120675845.58999997,131372611.83999997,131584806.63999997,133559433.88999997,133559433.88999997,136756830.89,136756830.89,136756830.89,136964142.89,136964142.89,136964142.89,136964142.89,136964142.89,136964142.89,136964142.89,136964142.89,136964142.89,137183454.89,137183454.89
8,EE,EU,https://www.countryflags.io/ee/flat/64.png,0.0,0.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,3090221.25,3090221.25,3090221.25,3140221.25,3140221.25,3140221.25,3190221.25,3190221.25,3190221.25,3190221.25,3190221.25,3190221.25,5678983.75,5728983.75,5728983.75,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,7348871.25,8642576.25,8642576.25,8642576.25,8642576.25,8642576.25,8642576.25,8642576.25,10012826.25,10012826.25,30972571.37,30972571.37,30972571.37,32765621.37,32765621.37,32765621.37,32765621.37,33782896.370000005,33782896.370000005,33782896.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35782646.370000005,35936839.650000006
9,EL,EU,https://www.countryflags.io/gr/flat/64.png,0.0,0.0,0.0,0.0,0.0,3072655.0,14131277.5,14131277.5,14131277.5,14131277.5,14181277.5,14181277.5,14181277.5,15139777.5,15139777.5,15139777.5,15139777.5,21031050.0,27314945.0,27314945.0,35294981.25,35294981.25,35294981.25,35344981.25,35444981.25,36657378.63,36657378.63,36657378.63,36657378.63,36657378.63,36657378.63,38151128.63,38151128.63,39259888.63,41427326.13,41427326.13,42411001.13,48404467.38,48404467.38,48404467.38,50453034.89,63532335.14,63532335.14,71570299.52,71570299.52,83560033.66,88554959.91,98513666.78999999,98513666.78999999,102587835.47,102587835.47,110496100.47,117482674.22,131022110.47,131022110.47,131022110.47,131022110.47,135812646.72,140798121.72,140798121.72,140798121.72,145527669.22,148023169.22,148023169.22,148023169.22,148023169.22,148023169.22,148023169.22,148023169.22,148023169.22,148023169.22
