,id,acronym,title,objective,startDate,endDate,ecMaxContribution,matches_group,matches_technology,number_unique_terms,count_matches
0,654462,STEMM-CCS,Strategies for Environmental Monitoring of Marine Carbon Capture and Storage,"STEMM-CCS is an ambitious research and innovation project on geological carbon dioxide (CO2) storage that will deliver new insights, guidelines for best practice, and tools for all phases of the CO2 storage cycle at ocean Carbon Capture and Storage (CCS) sites. It brings together the main operator (Shell) of the worldâ€™s first commercial scale full-chain ocean demonstration CCS project (Peterhead Project) with the leading scientific and academic researchers in the field of ocean CCS. The work performed in STEMM-CCS will add value to this existing operational programme, and fill gaps in future capability by providing generically applicable definitive guides, technologies and techniques informing how to select a site for CCS operations, how to undertake a risk assessment, how best to monitor the operations, how to provide information on fluxes and quantification of any leakage; necessary for the European Union Emissions Trading Scheme (ETS) and to guide mitigation/remediation actions. All of this information will be used to better communicate the case for offshore CCS, with a particular focus on communities directly and indirectly impacted. During STEMM-CCS we will perform a simulated CO2 leak beneath the surface sediments at the site to be used for CCS as part of the Peterhead project. This experiment will be used to test CO2 leak detection, leak quantification, impact assessment, and mitigation/remediation decision support techniques currently at the Technology Readiness Level (TRL) stage 4-5 and support their development to a higher TRL. In addition, using new geophysical approaches STEMM-CCS will develop tools to assess leakage from natural geological features (e.g. chimneys) and engineered structures such as abandoned wells. The Peterhead project will commence during the life of STEMM-CCS and so a unique aspect is the focus on a real-world ocean CCS site covering its initial phases of implementation, with direct involvement of industrial partners.",2016-03-01,2020-02-29,15918369.0,"['Storage', 'CCS']","['CCS', 'carbon capture and storage']",4,28
1,691712,ACT,Accellerating CCS technologies as a new low-carbon energy vector,"'This ERA-NET Cofund action is a transnational collaboration on CO2 Capture and Storage (CCS) technology. CCS is regarded as one of the main routes for Europe to mitigate climate change. Our initiative 'Accelerating CCS technology as a new low-carbon energy vector' (ACT) targets mainly the energy sector, but will also have benefits for energy intensive industries. The vision of ACT is to ensure that the energy sector makes a better contribution to climate protection by developing a collection of different CCS technologies ready for commercialisation. The consortium consists of 10 partners from 9 countries highly engaged to further development of CCS. The partner contribution for the first call is Euros 28.8 million. The consortium has received Letter of Support (LOS) from several important stakeholders in the CCS area in Europe.

The main objective of ACT is to facilitate the emergence of CCS by significant transnational joint calls that will stimulate close cooperation between researchers and industry in order to accelerate the deployment of CCS. During these calls the consortium will address the most relevant RD&D gaps in the CCS chain. ACT will bring researchers and CCS stakeholders from a number of countries closer together in a joint effort that will generate momentum towards deployment of CCS technology in Europa.

ACT will fund transnational R&D and innovation projects, facilitate meeting places for knowledge sharing, ensure synergies with pilots and demonstration projects, and invite to discussions with stakeholders in the CCS field. ACT will also ensure dissemination of results from ACT funded projects as part of an extensive outreach program targeting the research community, policymakers and the public in general. The result will be new knowledge which in turn will close gaps and accelerate CCS deployment. 
ACT has seven work packages, of which five are directly related to the first call and the last two are dedicated to additional activities.'",2016-02-01,2021-01-31,11889929.23,"['Storage', 'CCS']",['CCS'],3,27
2,673782,FLOATMAST,An Innovative Wind Resource Assessment Tension Leg Platform for combined Cup Anemometer and Lidar Reliable and Bankable Wind Measurements for Offshore Wind Parks,"The proposal is about the development of an innovative floating Tension Leg Platform (TLP) capable of conducting financeable grade wind measurements and environmental parameters measurements for offshore wind parks.  
Reliable and Bankable Wind Resource Assessment in offshore wind parks, presents a huge challenge as IEC compliant measuring devices are at the moment only provided by fixed met-masts. In addition, the areal expansion of the zones of potential development of offshore wind parks combined with the need for more measuring points within the candidate area, impose a need for redeployable, lower cost and reliable wind measuring devices. Furthermore, as offshore wind parks are getting into deeper waters, further from the shore and bigger in size, the costs are scaling up too and need better wind resource assessment to mitigate this and drive down the costs per kWh. Finally, financial competition between potential offshore wind parks raises up the question of reliability of the data measurements in order to lower the income risks for lenders. The solution to the above issues can be provided by the FloatMast innovative combination of three industries: Onshore Wind, Naval and Oil and Gas. On the deck of a small TLP which is a standard and proven technology in the Oil & Gas Industry, a met mast and a Lidar are fixed. This provides the ability to transfer the Onshore Wind Measurement methodology of short met mast and Lidar to produce IEC 61100 wind measurements. In addition, integration of environmental sensors (green and blue) on the platform will provide the environmental monitoring data that are useful for both the pre-construction consenting phase and the operational phase of the wind parks, thus fulfilling the environmental permit. The platform will provide a solution much needed to the Offshore Wind Industry Developers not only in the European Area, which is at the forefront of offshore wind developments but also to the markets of North America and Asia.",2015-06-01,2015-11-30,50000.0,['Wind'],"['offshore wind', 'onshore wind']",3,24
3,794562,Small-scale CSP,Numerical and experimental analysis of a novel thermal energy storage for a small-scale concentrated solar power plant,"The biggest challenge for renewable energy sources is to match the demand with the supply. By using thermal energy storage for concentrated solar power (CSP) plants, the stability, reliability, and capacity factor of the plants are improved. Conventional CSP plants typically use mirrors, which are expensive to produce, install, and maintain. Apart from that, conventional thermal storages are also expensive as these are based on molten salts, which are expensive and their handling require special materials. Based on a novel micro-structured polymer foil, Heliac, Denmark, has demonstrated cost-effectiveness of the Fresnel reflector integrated foil based CSP plants. The primary objective of â€œSmall-scale CSPâ€ is to design a novel thermal storage for Fresnel reflector integrated foil based CSP plants. Detailed numerical works as well as experimental demonstrations are included. The intention is to design a packed bed storage system with heat storage charging and discharging using evaporation/condensation of one or more heat transfer fluids. For the thermal storage to be designed in this project, the cost is estimated to be around 4 â‚¬/kWh which is less than half of the cost of conventional storage system using molten salt (~ 11 â‚¬/kWh). The estimated cost of electricity and heat generation from the Fresnel reflector integrated foil based CSP plant with storage (at Seville, Spain) is 38 â‚¬/MWh and 8 â‚¬/MWh, respectively. By involving research topics from different fields and collaborations with world-leading organizations from industry and academia, this is a truly inter-disciplinary and inter-sectorial project, ensuring its successful completion. In broader terms, the project will contribute to the development of cost-efficient renewable energy systems, reducing the dependence on fossil fuels and reducing the carbon dioxide emissions of the heat and power generation sector, thus helping to attain socio-economic and environmental targets in context of the EU 2020 vision.",2018-06-01,2020-05-31,212194.8,['Storage'],"['Fresnel reflector', 'energy storage', 'renewable energy', 'CSP', 'concentrated solar power', 'thermal storage']",7,22
4,698136,WITRO,Wind and Turbulence Radar for Offshore wind energy,"The project studies the use of a radar based technology to increase revenues and decrease maintenance costs of offshore wind-farms by providing a technology that help wind parks predict and adapt to the wind. Modern wind turbines are adjustable. The angels of rotors and blades can be changed. This is done by a control system optimizing production on a wind park level, or an even greater level. The wind park operator have several objectives to optimize for with the help of wind data. One is to reduce maintenance costs. Sudden wind bursts damage wind turbines, through identifying such wind bursts from a distance the wind park control system can adjust the angles of the blades to deflect the power of the wind. A second is to be able to predict energy output more accurately. This is important as wind park operators often have energy delivery contracts and are penalized if they deliver more or less than predictions. Predictions become more accurate when wind park operators have data on and understanding of the wind resources. A third objective is to harmonize all wind turbines in the park to get the highest possible stable output. This is also based on data on and understanding of the wind resources. There is substantial economic benefits to be gained through improved operation of wind parks.  The yearly cost improvements from the system in the European offshore marked alone is estimated to 275 M EURO in 2020 and over 1 000 M Euro in 2030. There is also a potentially much larger positive societal impact. Improvements in the cost-efficiency of wind will help it reach a tipping-point where it is driven forward through commercial motivations rather than government aid. The company have recently completed a major (approx. 1,4 M EUR) government funded research project, and tested the technology together with major commercial companies in wind energy like Statoil (largest Norwegian energy company) and Kongsberg Maritme (large player now entering the wind farm control market.",2015-09-01,2015-12-31,50000.0,['Wind'],['offshore wind'],2,22
5,645963,SENSIBLE,Storage-Enabled Sustainable Energy for Buildings and Communities,"The project SENSIBLE addresses the call LCE-08-2014 by integrating electro-chemical, electro-mechanical and thermal storage technologies as well micro-generation (CHP, heat pumps) and renewable energy sources (PV) into power and energy networks as well as homes and buildings. The benefits of storage integration will be demonstrated with three demonstrators in Portugal, UK and Germany. Ã‰vora (Portugal) will demonstrate storage-enabled power flow, power quality control and grid resilience/robustness in (predominantly low-voltage) power distribution networks â€“ under the assumption that these networks are â€žweakâ€œ and potentially unreliable. Nottingham (UK) will focus on storage-enabled energy management and energy market participation of buildings (homes) and communities â€“ under the assumption that the grid is â€žstrongâ€œ (so, with no or little restrictions from the grid). Nuremberg (Germany) will focus on multi-modal energy storage in larger buildings, considering thermal storage, CHP, and different energy vectors (electricity, gas). 
An important aspect of the project is about how to connect the local storage capacity with the energy markets in a way that results in sustainable business models for small scale storage deployment, especially in buildings and communities. SENSIBLE will also conduct life cycle analyses and assess the socio-economic impact of small-scale storage integrated in buildings distribution networks. 
By integrating different storage technologies into local energy grids as well as homes and buildings, and by connecting these storage facilities to the energy markets, the project SENSIBLE will have a significant impact on local energy flows in energy grids as well as on the energy utilization in buildings and communities. The impacts range from increased self-sufficiency, power quality and network stability all the way to sustainable business models for local energy generation and storage.",2015-01-01,2018-12-31,11842396.76,"['Storage', 'Energy management']","['energy storage', 'renewable energy', 'thermal storage', 'PV', 'CHP']",7,20
6,779541,REMOTE,Remote area Energy supply with Multiple Options for integrated hydrogen-based TEchnologies,"REMOTE will demonstrate technical and economic feasibility of two fuel cells-based H2 energy storage solutions (integrated P2P system; non-integrated P2G\G2P system), deployed in 4 DEMOs, based on renewables, in isolated micro-grid or off grid remote areas. 
DEMO 1: Ginostra (South Italy): off-grid configuration (island); RES based on hybrid system with PV- generators; residential loads on-site; almost complete substitution of fossil fuels. End-user: ENEL Green Power utility;
DEMO 2: (Greece): isolated micro-grid application; RES based on hydro generators; industrial (SME) loads onsite; complete substitution of fossil fuels; avoid costs for new transmission line. End-user: Horizon SA owner of hydro plant; 
DEMO 3: Ambornetti (North Italy): off-grid configuration (remote Alps); RES based on hybrid system with PV-biomass CHP generators; residential loads on-site; complete substitution of fossil fuels. End-user: IRIS stakeholder of the hamlet;
DEMO 4: Froan Island (Norway): isolated micro-grid application; RES based on hybrid system with PV-wind generators; residential loads\ fish industry on-site; complete substitution of fossil fuels; avoid costs for new transmission line. End-user: TrÃ¸nder Energi utility. VALIDATE the 4 DEMO units, to enable suppliers, end-users and general stakeholders to gain experience throughout the value chain of the energy storage; DEMOSTRATE the added value of the fuel cell-based H2 energy storage solutions with respect to alternative technologies in terms of economics, technical and environmental benefits; VALIDATE EU-based sub-MW P2P manufacturing solutions to fill the gap in the European energy storage sector while utilising the existing EU know-how already developed in previous consortium among partners; EXPLOITATION and BUSINESS scenarios for the replication of P2P solutions, considering different typologies of micro-grids (isolated or not); DISSEMINATION, build up confidence among stakeholders and raise public interest.",2018-01-01,2021-12-31,4995950.25,"['Storage', 'Wind', 'Fuel']","['energy storage', 'fuel cell', 'PV', 'CHP', 'micro-grid']",8,19
7,739615,acteno,Industrial Energy Storage Integration - development of a new bussiness segment in the area of energy storage at the SME acteno energy,"We see industrial grade storage solutions as the fourth cornerstone of a future energy network.

Recruiting an innovation associate will help us to gain essential know-how in the fields of commercial storage applications, statistical time series analysis and grid based energy storage integration in order to reveal the full business potential of the â€œstorage application platformâ€.

Acteno energy provides smart metering services for industrial, commercial and renewable energy applications. One of our main tasks is to gather and analyse realtime energy data and provide insight into the energy system for our customers.
As part of our innovation strategy we want to focus on the application of energy storage. Therefore, we are searching for an innovative associate in order to extend our team in the new business area of storage integration. 

The potential opportunity we have in mind is to develop a data driven service platform for industrial storage applications. The understanding and identification of potentials in the field of storage integration is also part of the scientific work as to obtain an overview of the ever-changing regulatory environment within the power economy. The aim of the scientific work is to develop an industry specific recommendation for multiuse of energy storage in the industry. 

The new horizons we address are to identify and leverage the customer, grid and market centric applications that can be generated through energy storage integration with our â€œacteno storage application platformâ€. The analysis of the bivalent and singular storage use is as much essential as the economic allocation of different storage technologies. The potentials of an industrially embedded storage use, shown also in terms of industry 4.0, should be shown as well as the option of saving and the economic impact of the relevant markets.",2017-09-01,2018-08-31,143900.0,['Storage'],"['energy storage', 'renewable energy']",3,19
8,744518,FLOWSPA,Floating Offshore Wind Support Platform and Assembly Solution,"'Project FLOWSPA (Floating Offshore Wind Support Platform Assembly) will demonstrate the feasibility of an innovative floating offshore wind foundation structure â€œStarfloatâ€ that combines â€œsparâ€ technology with â€œsemi-submersibleâ€ technology to provide a compact and cost effective low motion platform for supporting large capacity wind turbines at deep-water offshore wind farm sites. Energy analysts have predicted that, if a viable and cost effective technology can be delivered, the deep-water offshore wind market in Europe could meet 50% of Europeâ€™s electricity requirement by 2050. Unlike competitor technologies the simple scalable 'Starfloat' is designed for construction at existing shipbuilding facilities with restricted water depth thus opening up construction opportunities for European shipyards that are currently in decline. The innovative floating foundation design and assembly process takes significant cost out of the CAPEX of deep water floating offshore wind projects and removes the need for risky offshore marine operations. 'Starfloat' therefore has the potential to be disruptive to the current perceived limitations of the offshore wind industry by bring floating offshore wind into the same levelised cost of energy (LCOE) as fixed foundation offshore wind. This will allow the project financing of deeper water wind farm sites, where the wind resource is stronger and more reliable, to be exploited using relatively low risk technology with the end result of reducing carbon emissions and reduced dependency for Europe on imported fuels. It also has the benefit of bringing steel fabrication work to declining shipyards and assembly work to deep-water offshore construction sites that are currently seeing a sharp decline in activity with the fall in the oil price and the collapse of the new shipbuilding market.'",2017-02-01,2017-09-30,50000.0,['Wind'],['offshore wind'],2,19
9,671396,AutoRE,AUTomotive deRivative Energy system,"'The overall aim is to create the foundations for commercializing an automotive derivative fuel cell system in the 50 to 100 kW range, for combined heat and power (CHP) applications  in commercial and industrial buildings.  More specifically, the project has the following objectives:
â€¢ develop system components allowing reduced costs, increased durability and efficiency 
â€¢ build and validate a first 50 kW PEM prototype CHP system 
â€¢ create the required value chain from automotive manufacturers to stationary energy end-users
Mass-market production of fuel cells will be a strong factor in reducing first costs. In this respect, joining the forces of two non-competing sectors (automotive and stationary) will bring benefits to both, to increase production volume and ultimately reduce costs to make fuel cells competitive. As a consequence, the project partners have identified a PEM fuel cell based CHP concept to address the stationary power market, primarily for commercial and industrial buildings requiring an installed capacity from about 50 kWe to some hundreds of kWe. The main components of the system have been validated to at least laboratory scale (TRL>4).   As a part of the present AutoRE proposal, the overall system will be demonstrated and further validated to increase the technology readiness level to TRL5. In addition, innovative solutions will be demonstrated to continuously improve performance and reduce costs and complexity. The project consortium reflects the full value chain of the fuel cell CHP system which will enhance significantly the route to market for the system/technology.  

The proposal relates to FCH-02.5-2014: Innovative fuel cell systems at intermediate power range for distributed combined heat and power generation, and it addresses the main specific challenges and scope laid down in the FCH JU AWP2014 to â€œdevelop, manufacturing and validation of a new generation of fuel cell systems with properties that significantly improve competitiveness'.'",2015-08-01,2018-07-31,3496947.0,['Fuel'],"['CHP', 'combined heat and power', 'fuel cell']",4,18
